,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
12,24,School Rumble,7.89,"['Comedy', 'Romance']","Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight.

School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.",TV,26.0,"Oct 5, 2004 to Mar 29, 2005",Finished Airing,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23,PG-13 - Teens 13 or older,756.0,687,5139,146597.0,320203,2004-10-05,2005-03-29
13,25,Sunabouzu,7.38,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']","The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves.

One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. 

Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing.",TV,24.0,"Oct 6, 2004 to Mar 30, 2005",Finished Airing,"GDH, Pony Canyon, CBC Television",Funimation,Gonzo,Manga,24,R - 17+ (violence & profanity),2167.0,1546,822,53709.0,134894,2004-10-06,2005-03-30
14,26,Texhnolyze,7.76,"['Action', 'Drama', 'Sci-Fi']","In the dark underground city of Lux, people live in fear and despair under the rule of various criminal factions. Almost secluded from the surface, the gangs' only interaction with the outer world is their mining operation of ""raffia,"" which is the raison d'être of the city.

Available only in Lux, this rare substance is the basis of ""texhnolyze"" transplants that permit humans to replace parts of their body with cybernetic prostheses. The latter have the particularity not to trigger an immune response in their hosts and the ""Class"" has the privilege to conduct research on them. This elusive organization, also in charge of the raffia production, delegates its executive authority to a group called Organo led by Keigo Oonishi—a self-righteous man with texhnolyzed legs who is rumored to hear the ""voice of the city.""

The fragile balance of powers in Lux is disturbed when a mysterious visitor named Kazuho Yoshii begins committing a series of crimes that puts the gangs at each other's throats. In the midst of the chaos, new actors emerge: Ichise, an ex-boxer mutilated by Organo and recently texhnolyzed by Eriko ""Doc"" Kamata; and Ran, a young florist who can see the future. While Lux steadily plunges into insanity, both Ichise and Ran find themselves involved in the greatest crisis the city has ever faced.",TV,22.0,"Apr 17, 2003 to Sep 25, 2003",Finished Airing,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23,R+ - Mild Nudity,990.0,935,4786,54857.0,239423,2003-04-17,2003-09-25
16,28,Yakitate!! Japan,7.91,"['Comedy', 'Gourmet']","While countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation.

Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level.

As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution.",TV,69.0,"Oct 12, 2004 to Mar 14, 2006",Finished Airing,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24,PG-13 - Teens 13 or older,704.0,1992,897,40492.0,95380,2004-10-12,2006-03-14
17,29,Zipang,7.48,"['Action', 'Drama', 'Sci-Fi']","Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.

(Source: ANN)",TV,26.0,"Oct 8, 2004 to Apr 1, 2005",Finished Airing,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,24,PG-13 - Teens 13 or older,1778.0,4430,180,7273.0,21391,2004-10-08,2005-04-01
18,30,Neon Genesis Evangelion,8.35,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.

Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.

A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.",TV,26.0,"Oct 4, 1995 to Mar 27, 1996",Finished Airing,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, GKIDS","Gainax, Tatsunoko Production",Original,24,PG-13 - Teens 13 or older,204.0,45,100638,1024927.0,1718019,1995-10-04,1996-03-27
19,33,Kenpuu Denki Berserk,8.56,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.",TV,25.0,"Oct 8, 1997 to Apr 1, 1998",Finished Airing,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,25,R+ - Mild Nudity,96.0,325,25404,325204.0,608800,1997-10-08,1998-04-01
20,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"['Action', 'Drama', 'Romance']","When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute.

Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.",OVA,4.0,"Feb 20, 1999 to Sep 22, 1999",Finished Airing,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,29,R - 17+ (violence & profanity),48.0,834,6137,134133.0,268621,1999-02-20,1999-09-22
21,45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"['Action', 'Adventure', 'Comedy', 'Romance']","In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.

Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?",TV,94.0,"Jan 10, 1996 to Sep 8, 1998",Finished Airing,"Aniplex, SME Visual Works, Fuji TV","Media Blasters, Aniplex of America","Gallop, Studio Deen",Manga,25,PG-13 - Teens 13 or older,249.0,432,9907,230278.0,477389,1996-01-10,1998-09-08
22,48,.hack//Sign,6.95,"['Adventure', 'Fantasy', 'Mystery']","A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.

As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.",TV,26.0,"Apr 4, 2002 to Sep 26, 2002",Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24,PG-13 - Teens 13 or older,4172.0,1243,1343,83009.0,178659,2002-04-04,2002-09-26
23,49,Aa! Megami-sama!,7.29,"['Comedy', 'Romance', 'Supernatural']","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in.",OVA,5.0,"Feb 21, 1993 to May 17, 1994",Finished Airing,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30,PG-13 - Teens 13 or older,2542.0,2832,246,26400.0,52627,1993-02-21,1994-05-17
24,50,Aa! Megami-sama! (TV),7.32,"['Comedy', 'Romance', 'Supernatural']","In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted.

Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.",TV,24.0,"Jan 7, 2005 to Jul 8, 2005",Finished Airing,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24,PG-13 - Teens 13 or older,2407.0,1392,1115,76377.0,155745,2005-01-07,2005-07-08
25,51,Tenshi Kinryouku,6.27,"['Action', 'Drama', 'Romance', 'Supernatural']","Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down.

Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself.

As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?",OVA,3.0,"May 25, 2000 to Aug 25, 2000",Finished Airing,"Bandai Visual, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,29,R+ - Mild Nudity,7564.0,2958,182,26701.0,48258,2000-05-25,2000-08-25
26,52,Kidou Tenshi Angelic Layer,7.26,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi', 'Sports']","12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.",TV,26.0,"Apr 1, 2001 to Sep 23, 2001",Finished Airing,"Dentsu, TV Tokyo Music","ADV Films, Sentai Filmworks",Bones,Manga,24,PG-13 - Teens 13 or older,2727.0,2707,291,28552.0,57259,2001-04-01,2001-09-23
27,53,Ai Yori Aoshi,7.11,"['Comedy', 'Drama', 'Romance']","Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",TV,24.0,"Apr 11, 2002 to Sep 26, 2002",Finished Airing,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23,PG-13 - Teens 13 or older,3471.0,1839,447,52942.0,108460,2002-04-11,2002-09-26
28,55,Arc the Lad,6.51,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies. 

(Source: ANN)",TV,26.0,"Apr 5, 1999 to Oct 11, 1999",Finished Airing,"Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",ADV Films,Bee Train,Game,22,R - 17+ (violence & profanity),6294.0,5012,14,5911.0,16013,1999-04-05,1999-10-11
29,56,Avenger,5.86,"['Adventure', 'Fantasy', 'Sci-Fi']","Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed.",TV,13.0,"Oct 2, 2003 to Dec 25, 2003",Finished Airing,Yomiko Advertising,Bandai Entertainment,Bee Train,Original,24,R - 17+ (violence & profanity),9454.0,4856,20,6788.0,17396,2003-10-02,2003-12-25
30,57,Beck,8.29,"['Comedy', 'Drama', 'Slice of Life']","Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. 

After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.",TV,26.0,"Oct 7, 2004 to Mar 31, 2005",Finished Airing,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25,R - 17+ (violence & profanity),252.0,669,8149,136432.0,327015,2004-10-07,2005-03-31
31,58,Blue Gender,7.03,"['Adventure', 'Drama', 'Horror', 'Romance', 'Sci-Fi']","Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more.

Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth.

Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?",TV,26.0,"Oct 8, 1999 to Mar 31, 2000",Finished Airing,"Youmex, Toshiba EMI",Funimation,AIC,Original,23,R+ - Mild Nudity,3873.0,2256,415,29649.0,78193,1999-10-08,2000-03-31
